entry_id,policy_id,country,region_scale,region,policy_type,policy_sub_type,policy_measure,policy_scope,target_region_scale,target_region,target_direction,compliance,enforcer,record_type,date_announce,date_start,date_end,date_end_type,event_description,source type,link,created_by,verified_by,verification_notes,verified_by_et,verification_notes_et,verification_status,verification_update
X8a,X8,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,mandatory,municipal_government,modification,2/24/2020,2/24/2020,2/28/2020,phase out,Offices in Beijing are required staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200224_1667875.html,Xinyi,,,,,,
X8b,X8,China,municipal,Beijing,Domestic travel,Restricting entry into region,L1 - Quarantine,migrant_workers,national,China,inbound,mandatory,municipal_government,modification,2/24/2020,2/24/2020,,,All migrant workers are required a 14-day quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200224_1667875.html,Xinyi,,,,,,
X9a,X9,China,national,China,Businesses,Business adaptations,L3 - Limiting numbers,all_businesses,,,,recommended,municipal_government,modification,2/24/2020,2/24/2020,,,All businesses are required to resume work under the condition of liniting numbers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200224_1667905.html,Xinyi,,,,,,
X10a,X10,China,national,China,Domestic travel,Restricting movement within region,L2 - Suspension,ill_people,national,China,,mandatory,community,modification,2/25/2020,2/25/2020,,,Ill people are required strict quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,,,,
X10b,X10,China,national,China,Domestic travel,Restricting movement within region,L1 - Restriction,all_citizens,national,China,,mandatory,community,modification,2/25/2020,2/25/2020,,,All citizens are required to take their temperatures and show health QR code before moving,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,,,,
X10c,X10,China,national,China,Domestic travel,Restricting entry into region,L1 - Quarantine,all_citizens,national,China,inbound,mandatory,municipal_government,modification,2/25/2020,2/25/2020,,,All citizens returning inbound are required a 14-day quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,,,,
X10d,X10,China,national,China,Businesses,Business adaptations,L3 - Limiting numbers,all_businesses,,,,mandatory,municipal_government,modification,2/25/2020,2/25/2020,,,All businesses are required to limit customer numbers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,,,,
X10e,X10,China,national,China,Businesses,Business adaptations,L4 - Modifying hours,markets,,,,recommended,municipal_government,modification,2/25/2020,2/25/2020,2/26/2020,phase out,Markets are suggested to reduce waiting times by using self-checkout,Government announcement,,Xinyi,,,,,,
X10f,X10,China,national,China,Offices,Office adaptations,L2 - Physical distancing,all_offices,,,,mandatory,municipal_government,modification,2/25/2020,2/25/2020,,,All offices are required reduce gathering,Government announcement,,Xinyi,,,,,,
X10g,X10,China,national,China,Offices,Office adaptations,L4 - Modifying hours,commercial,,,,recommended,municipal_government,modification,2/25/2020,2/25/2020,4/9/2020,phase out,Commerical offices are suggested staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,,,,
X10h,X10,China,national,China,Schools,School adaptations,L5 - Closing,,,,,mandatory,municipal_government,new,2/25/2020,2/25/2020,,,Returning to school in advance is prohibited,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,TRUE,,,
X10i,X10,China,national,China,Institutions,Institution adaptations,L1 - hygiene,all_institutions,,,,mandatory,municipal_government,modification,2/25/2020,2/25/2020,,,All institutions are required to take preventive hygiene measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669651.html,Xinyi,,,,,,
X11a,X11,China,national,Beijing,Businesses,Business adaptations,L3 - Limiting numbers,markets,,,,mandatory,municipal_government,modification,2/26/2020,2/26/2020,,,Preventing gathering in markets is emphasized,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200226_1669639.html,Xinyi,,,,,,
X12a,X12,China,municipal,Beijing,Domestic travel,Restricting entry into region,L1 - Quarantine,migrant_workers,national,China,inbound,mandatory,municipal_government,modification,2/27/2020,2/27/2020,,,All employing units are required to ensure migrant workers take a 14-day quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672957.html,Xinyi,,,,,,
X12b,X12,China,municipal,Beijing,Domestic travel,Restricting entry into region,L2 - Restriction,migrant_workers,provincial,Hubei,inbound,mandatory,municipal_government,modification,2/27/2020,2/27/2020,3/24/2020,phase out,Migrant workers from Hubei are not allowed to enter Beijing,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672957.html,Xinyi,,,,,,
X13a,X13,China,municipal,Beijing,Domestic travel,Restricting movement within region,L2 - Suspension,ill_people,municipal,Beijing,,mandatory,community,modification,2/28/2020,2/28/2020,,,Ill people are required strict quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X13b,X13,China,municipal,Beijing,Domestic travel,Restricting movement within region,L1 - Restriction,all_citizens,municipal,Beijing,,mandatory,community,modification,2/28/2020,2/28/2020,,,All citizens are required to take their temperatures and show health QR code before moving,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X13c,X13,China,municipal,Beijing,Domestic travel,Restricting entry into region,L1 - Quarantine,all_citizens,national,China,inbound,mandatory,municipal_government,modification,2/28/2020,2/28/2020,,,All citizens returning inbound are required a 14-day quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X13d,X13,China,municipal,Beijing,Offices,Office adaptations,L1 - hygiene,commercial,,,,mandatory,municipal_government,modification,2/28/2020,2/28/2020,,,"Commerical buildings are required ""2 masters"" system",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X13e,X13,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,commercial,,,,recommended,municipal_government,modification,2/28/2020,2/28/2020,3/20/2020,phase out,Commerical offices are suggested staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X13f,X13,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,government,,,,mandatory,municipal_government,modification,2/28/2020,2/28/2020,3/20/2020,phase out,Government offices are required staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X13g,X13,China,municipal,Beijing,Schools,School adaptations,L5 - Closing,,,,,mandatory,municipal_government,new,2/28/2020,2/28/2020,,,Returning to school in advance is prohibited,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,TRUE,,,
X13h,X13,China,municipal,Beijing,Institutions,Institution adaptations,L3 - Limiting numbers,scenic spots,,,,mandatory,municipal_government,modification,2/28/2020,2/28/2020,,,Parks and senic spots are required taking measures for limiting numbers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672908.html,Xinyi,,,,,,
X14a,X14,China,national,China,Institutions,Institution adaptations,L1 - hygiene,traffic,,,,mandatory,municipal_government,modification,2/28/2020,2/28/2020,,,Traffic institutions are required disinfection measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200302_1674078.html,Xinyi,,,,,,
X14b,X14,China,national,China,Domestic travel,Restricting entry into region,L1 - Quarantine,all_citizens,national,China,inbound,mandatory,municipal_government,modification,2/28/2020,2/28/2020,,,All citizens returning inbound are required a 14-day quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200302_1674078.html,Xinyi,,,,,,
X14c,X14,China,municipal,Beijing,Domestic travel,Restricting entry into region,L2 - Restriction,all_citizens,national,China,inbound,recommended,municipal_government,modification,2/28/2020,2/28/2020,,,Citizens from high-risk areas are suggested not to enter/return to Beijing,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200302_1674078.html,Xinyi,,,,,,
X15a,X15,China,national,China,Institutions,Institution adaptations,L1 - hygiene,social welfare,,,,mandatory,municipal_government,modification,2/29/2020,2/29/2020,,,Social welfare institutions are required to regularly measure body temperatures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672978.html,Xinyi,,,,,,
X16a,X16,China,national,China,Schools,School adaptations,L5 - Closing,,,,,mandatory,municipal_government,modification,2/29/2020,2/29/2020,,,Schools are required to start web-teaching,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200301_1673158.html,Xinyi,,,TRUE,,,
X17a,X17,China,municipal,Beijing,Businesses,Business adaptations,L1 - hygiene,entertainment,,,,mandatory,municipal_government,modification,2/17/2020,2/17/2020,,,"""6 Small businesses"" are required to take hygiene measures",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200219_1657592.html,Xinyi,,,,,,
X17b,X17,China,municipal,Beijing,Businesses,Business adaptations,L3 - Limiting numbers,entertainment,,,,recommended,municipal_government,modification,2/17/2020,2/17/2020,3/21/2020,phase out,"""6 Small businesses"" are suggested to limit customer numbers",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200219_1657592.html,Xinyi,,,,,,
X18a,X18,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,community,modification,2/18/2020,2/18/2020,,,General public are required to wear masks in public areas,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200219_1657595.html,Xinyi,,,,,,
X19a,X19,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,mandatory,municipal_government,new,2/18/2020,2/18/2020,3/20/2020,phase out,Offices are required flexible working system,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200219_1657596.html,Xinyi,,,,,,
X20a,X20,China,municipal,Beijing,Businesses,Business adaptations,L3 - Limiting numbers,all_businesses,,,,mandatory,municipal_government,modification,2/18/2020,2/18/2020,3/21/2020,phase out,Businesses are required to limit customer numbers,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200219_1657598.html,Xinyi,,,,,,
X21a,X21,China,municipal,Beijing,Businesses,Business adaptations,L3 - Limiting numbers,entertainment,,,,recommended,municipal_government,modification,2/20/2020,2/20/2020,3/21/2020,phase out,"""7 Small businesses"" are suggested to limit customer numbers",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200223_1666436.html,Xinyi,,,,,,
X22a,X22,China,municipal,Beijing,Institutions,Institution adaptations,L1 - hygiene,social welfare,,,,mandatory,municipal_government,modification,2/22/2020,2/22/2020,,,Pension indtitutions are required to take hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200223_1666438.html,Xinyi,,,,,,
X23a,X23,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,mandatory,municipal_government,modification,2/23/2020,2/23/2020,3/20/2020,phase out,Offices are required flexible working system,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200225_1668625.html,Xinyi,,,,,,
X24a,X24,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,mandatory,municipal_government,modification,2/28/2020,2/28/2020,3/20/2020,phase out,Offices are required flexible working system,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202002/t20200228_1670587.html,Xinyi,,,,,,
X25a,X25,China,national,China,Institutions,Institution adaptations,L1 - hygiene,traffic,,,,mandatory,municipal_government,modification,3/1/2020,3/1/2020,,,Traffic institutions are required disinfection measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200302_1674066.html,Xinyi,,,,,,
X26a,X26,China,national,China,Domestic travel,Restricting entry into region,L1 - Quarantine,migrant_workers,national,China,inbound,mandatory,national_government,modification,3/7/2020,3/7/2020,,,Transport departments are required to provide point-to-point transport services,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200312_1698165.html,Xinyi,,,,,,
X27a,X27,China,municipal,Beijing,Domestic travel,Restricting entry into region,L2 - Restriction,migrant_workers,provincial,Hubei,inbound,mandatory,municipal_government,modification,3/11/2020,3/11/2020,3/24/2020,phase out,Migrant workers from Hubei are not allowed to enter Beijing,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200312_1697810.html,Xinyi,,,,,,
X28a,X28,China,municipal,Beijing,Offices,Office adaptations,L3 - Limiting numbers,commercial,,,,mandatory,municipal_government,modification,3/13/2020,3/13/2020,,,Commerical offices are required to limit employee number,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200318_1720638.html,Xinyi,,,,,,
X29a,X29,China,municipal,Beijing,Domestic travel,Restricting entry into region,L1 - Quarantine,migrant_workers,provincial,Hubei,inbound,mandatory,municipal_government,modification,3/24/2020,3/24/2020,,,Migrant workers from Hubei are required a 14-day quarantine,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200326_1739443.html,Xinyi,,,,,,
X30a,X30,China,municipal,Beijing,Institutions,Institution adaptations,L3 - Limiting numbers,traffic,,,,mandatory,municipal_government,modification,3/7/2020,3/7/2020,,,Traffic institutions are required to limit passenger numbers,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202003/t20200307_1682278.html,Xinyi,,,,,,
X31a,X31,China,municipal,Beijing,Offices,Office adaptations,L2 - Physical distancing,all_offices,,,,mandatory,municipal_government,modification,3/20/2020,3/20/2020,,,Offices are required to take physical distancing measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202003/t20200320_1722481.html,Xinyi,,,,,,
X32a,X32,China,municipal,Beijing,Businesses,Business adaptations,L1 - hygiene,all_businesses,,,,mandatory,municipal_government,modification,3/21/2020,3/21/2020,,,Businesses are required to take hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202003/t20200321_1723590.html,Xinyi,,,,,,
X33a,X33,China,municipal,Beijing,Businesses,Business adaptations,L2 - Physical distancing,entertainment,,,,mandatory,municipal_government,modification,3/21/2020,3/21/2020,,,"""7 Small businesses"" are required to resume working under physical distancing measures",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202003/t20200321_1723592.html,Xinyi,,,,,,
X34a,X34,China,municipal,Beijing,Businesses,Business adaptations,L3 - Limiting numbers,scenic spots,,,,mandatory,municipal_government,modification,4/1/2020,4/1/2020,,,Secinc spots are required resume working under limiting tourist numbers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200406_1790507.html,Xinyi,,,,,,
X35a,X35,China,national,China,Gatherings,L4 - Mass gatherings,L2 - Restriction,,,,,recommended,municipal_government,modification,4/9/2020,4/9/2020,,,Mass gatherings in public areas are suggested to be canceled,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200409_1798143.html,Xinyi,,,,,,
X35b,X35,China,national,China,Offices,Office adaptations,L2 - Physical distancing,all_offices,,,,recommended,municipal_government,modification,4/9/2020,4/9/2020,,,All offices are suggested resume working under physical distancing measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200409_1798143.html,Xinyi,,,,,,
X35c,X35,China,national,China,Businesses,Business adaptations,L1 - hygiene,all_businesses,,,,recommended,municipal_government,modification,4/9/2020,4/9/2020,,,Businesses are required to take hygiene measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200409_1798143.html,Xinyi,,,,,,
X35d,X35,China,national,China,Institutions,Institution adaptations,L2 - Physical distancing,traffic,,,,recommended,municipal_government,modification,4/9/2020,4/9/2020,,,Traffic institutions are suggested to take physical distancing measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200409_1798143.html,Xinyi,,,,,,
X35e,X35,China,national,China,Institutions,Institution adaptations,L1 - hygiene,social welfare,,,,recommended,municipal_government,modification,4/9/2020,4/9/2020,,,Social welfare institutions are required to take hygiene measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200409_1798143.html,Xinyi,,,,,,
X36a,X36,China,national,China,Offices,Office adaptations,L2 - Physical distancing,commercial,,,,recommended,municipal_government,modification,4/10/2020,4/10/2020,,,Commerical offices are suggested resume working under physical distancing measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200410_1799119.html,Xinyi,,,,,,
X37a,X37,China,national,China,Institutions,Institution adaptations,L3 - Limiting numbers,scenic spots,,,,mandatory,municipal_government,modification,4/13/2020,4/13/2020,,,The number of tourists received by scenic spots shall not exceed 30% of the approved maximum carrying capacity,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200414_1803642.html,Xinyi,,,,,,
X38a,X38,China,national,China,Individual,Wearing a mask,,general_public,,,,mandatory,community,modification,4/16/2020,4/16/2020,,,General public are required to wear a mask,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200417_1828929.html,Xinyi,,,,,,
X38b,X38,China,national,China,Individual,Performing hand hygiene,,general_public,,,,mandatory,community,modification,4/16/2020,4/16/2020,,,General public are required to take hand hygiene measures,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200417_1828929.html,Xinyi,,,,,,
X38c,X38,China,national,China,Domestic travel,Restricting movement within region,L1 - Restriction,all_citizens,national,China,,mandatory,community,modification,4/16/2020,4/16/2020,,,All citizens are required to take their temperatures and show health QR code before moving,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200417_1828929.html,Xinyi,,,,,,
X39a,X39,China,municipal,Beijing,Businesses,Business adaptations,L3 - Limiting numbers,sports,,,,mandatory,municipal_government,modification,4/22/2020,4/22/2020,,,Gyms are required reopen under taking measres to limit customer numbers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202004/t20200422_1876682.html,Xinyi,,,,,,
X40a,X40,China,municipal,Beijing,Offices,Office adaptations,L2 - Physical distancing,all_offices,,,,recommended,municipal_government,modification,4/29/2020,4/29/2020,,,Commerical offices are suggested to take physical distancing measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896311.html,Xinyi,,,,,,
X41a,X41,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,community,modification,4/29/2020,4/29/2020,,,General public are required to wear a mask,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896375.html,Xinyi,,,,,,
X42a,X42,China,municipal,Beijing,Businesses,Business adaptations,L1 - hygiene,hotels,,,,mandatory,municipal_government,modification,4/29/2020,4/29/2020,,,Hotels are suggested to take hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896390.html,Xinyi,,,,,,
X43a,X43,China,municipal,Beijing,Businesses,Business adaptations,L1 - hygiene,all_businesses,,,,mandatory,municipal_government,modification,4/29/2020,4/29/2020,,,Pubic areas are required to take hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896412.html,Xinyi,,,,,,
X43b,X43,China,municipal,Beijing,Institutions,Institution adaptations,L1 - hygiene,all_institutions,,,,mandatory,municipal_government,modification,4/29/2020,4/29/2020,,,Pubic areas are required to take hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896412.html,Xinyi,,,,,,
X44a,X44,China,municipal,Beijing,Institutions,Institution adaptations,L1 - hygiene,social welfare,,,,mandatory,municipal_government,modification,4/29/2020,4/29/2020,,,Pension institutions are required to take hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896440.html,Xinyi,,,,,,
X45a,X45,China,municipal,Beijing,Businesses,Business adaptations,L2 - Physical distancing,all_businesses,,,,recommended,municipal_government,modification,4/29/2020,4/29/2020,,,,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896447.html,Xinyi,,,,,,
X46a,X46,China,municipal,Beijing,Businesses,Business adaptations,L2 - Physical distancing,entertainment,,,,mandatory,municipal_government,modification,4/29/2020,4/29/2020,,,"""7 Small businesses"" are required to resume working under physical distancing measures",Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896454.html,Xinyi,,,,,,
X47a,X47,China,municipal,Beijing,Institutions,Institution adaptations,L2 - Physical distancing,traffic,,,,recommended,municipal_government,modification,4/29/2020,4/29/2020,,,Traffic institutions are suggested to take physical distancing measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896482.html,Xinyi,,,,,,
X48a,X48,China,municipal,Beijing,Gatherings,L1 - Private gatherings at home,L2 - Restriction,,,,,recommended,municipal_government,modification,4/30/2020,4/30/2020,,,Residents are suggested not to gather at home,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896497.html,Xinyi,,,,,,
X49a,X49,China,municipal,Beijing,Individual,Performing hand hygiene,,general_public,,,,mandatory,community,modification,4/30/2020,4/30/2020,,,General public are required to take hand hygiene measures,Government announcement,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdzcfg/202005/t20200513_1896536.html,Xinyi,,,,,,
P1a,P1,China,municipal,Beijing,Offices,Office adaptations,L5 - Closing,commercial,,,,recommended,municipal_government,new,1/23/2020,1/23/2020,,unknown,Enterprises can adopt the way of centralized work and centralized rest to maintain normal production and operation,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200124_1621272.html,Puxi,Xinyi,"policy_measure seems to be ""L4 - Modifying hours""",TRUE,,update,replacement added
P2a,P2,China,municipal,Beijing,Businesses and Institutions,Business and institution adaptations,L5 - Closing,healthcare institutions,,,,mandatory,municipal_government,new,1/26/2020,1/27/2020,,unknown,Implementation of closed management in pension institutions in the whole city,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200127_1621406.html,Puxi,Xinyi,policy_scope update as social welfare,TRUE,,update,replacement added
P3a,P3,China,municipal,Beijing,Domestic travel,Restricting entry into region,L2 - Restriction,all_citizens,provincial,Hubei,outbound,mandatory,municipal_government,new,1/27/2020,1/27/2020,,unknown,Beijing citizens in Hubei are not allowed to leave Hubei without authorization in violation of regulations.,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200128_1621466.html,Puxi,Xinyi,,,,,
P3b,P3,China,municipal,Beijing,Individual,Wearing a mask,,general_public,,,,mandatory,municipal_government,new,1/27/2020,1/27/2020,,unknown,Dissuade those who do not wear masks,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200128_1621467.html,Puxi,Xinyi,,,,,
P4a,P4,China,municipal,Beijing,Schools,School adaptations,L5 - Closing,,,,,mandatory,municipal_government,new,1/28/2020,1/28/2020,,unknown,"All colleges and universities, primary and secondary schools and kindergartens will postpone the opening of school, and the specific time will be notified by the education department.",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200128_1621470.html,Puxi,Xinyi,,TRUE,,,
P4b,P4,China,municipal,Beijing,Offices,Office adaptations,L5 - Closing,all_offices,,,,mandatory,municipal_government,new,1/28/2020,1/28/2020,2/3/2020,date_announced,Extend the Spring Festival holiday in 2020 to February 2 and work normally from February 3.,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200128_1621471.html,Puxi,Xinyi,,,,,
